C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
862.8,215.7,0,0,0,0,1078.5,0,0,0,169.5,32.4,0,28,19,0.2,0,2,0,3.28
862.8,215.7,0,0,0,0,1078.5,0,0,0,169.5,32.4,0,28,19,0.16,0,2,0,3.27
862.8,215.7,0,0,0,0,1078.5,0,0,0,169.5,32.4,0,28,22,0.2,0,2,0,3.23
862.8,215.7,0,0,0,0,1078.5,0,0,0,169.5,32.4,0,28,22,0.16,0,2,0,3.12
778,165,0,0,0,0,0,165,1071,0,179,21,0,28,13,0.2,1.5,0,0,1.28
778,165,0,0,0,0,0,165,1071,0,179,21,0,28,13,0.2,2,0,0,1.51
778,165,0,0,0,0,0,165,1071,0,179,21,0,28,13,0.2,3,0,0,1.87
881,155,235,0,0,0,0,0,881,0,223,25,0,28,0,0,0,0,0,2.56
881,155,235,0,0,0,0,0,881,0,223,25,0,28,0,0,0,0,0,2.63
881,155,235,0,0,0,0,0,881,0,223,25,0,28,0,0,0,0,0,3.10
881,155,235,0,0,0,0,0,829,0,223,25,0,28,13,0.2,0,2,0,4.46
881,155,235,0,0,0,0,0,829,0,223,25,0,28,13,0.2,0,2,0,4.67
881,155,235,0,0,0,0,0,829,0,223,25,0,28,13,0.2,0,2,0,5.18
881,155,235,0,0,0,0,0,777,0,223,25,0,28,13,0.2,0,4,0,8.22
881,155,235,0,0,0,0,0,777,0,223,25,0,28,13,0.2,0,4,0,8.56
881,155,235,0,0,0,0,0,777,0,223,25,0,28,13,0.2,0,4,0,8.99
881,155,235,0,0,0,0,0,725,0,223,25,0,28,13,0.2,0,6,0,9.89
881,155,235,0,0,0,0,0,725,0,223,25,0,28,13,0.2,0,6,0,10.12
881,155,235,0,0,0,0,0,725,0,223,25,0,28,13,0.2,0,6,0,10.49
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,0,0,0,0,0,0.86
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,0,0,0,0,0,0.94
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,0,0,0,0,0,0.97
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,13,0.2,0,3,0,1.78
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,13,0.2,0,3,0,1.85
809,270,0,0,0,0,0,0,1079,0,177,21.6,0,28,13,0.2,0,3,0,2.08
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,0,0,0,0,0,7.52
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,13,0.2,0.5,0,0,8.62
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,13,0.2,1,0,0,8.74
